"report_title","publication_date","report_url","year","month","disease","country","","","","","","","","","","","","",""
"Human infection caused by Avian Influenza A (H5) - Chile","06 April 2023","https://www.who.int/emergencies/disease-outbreak-news/item/2023-DON453","2023","April","Human infection caused by Avian Influenza A (H5)","Chile","","","","","","","","","","","","",""
"Iatrogenic Botulism- European Region","24 March 2023","https://www.who.int/emergencies/disease-outbreak-news/item/2023-DON450","2023","March","Iatrogenic Botulism","European Region","","","","","","","","","","","","",""
"Marburg virus disease - United Republic of Tanzania","24 March 2023","https://www.who.int/emergencies/disease-outbreak-news/item/2023-DON451","2023","March","Marburg virus disease","United Republic of Tanzania","","","","","","","","","","","","",""
"Geographical expansion of cases of dengue and chikungunya beyond the historical areas of transmission in the Region of the Americas","23 March 2023","https://www.who.int/emergencies/disease-outbreak-news/item/2023-DON448","2023","March","Geographical expansion of cases of dengue and chikungunya beyond the historical areas of transmission","the Region of the Americas","","","","","","","","","","","","",""
"Marburg virus disease - Equatorial Guinea","22 March 2023","https://www.who.int/emergencies/disease-outbreak-news/item/2023-DON449","2023","March","Marburg virus disease","Equatorial Guinea","","","","","","","","","","","","",""
"Measles - South Africa","21 March 2023","https://www.who.int/emergencies/disease-outbreak-news/item/2023-DON447","2023","March","Measles","South Africa","","","","","","","","","","","","",""
"Measles - Nepal","14 March 2023","https://www.who.int/emergencies/disease-outbreak-news/item/2023-DON446","2023","March","Measles","Nepal","","","","","","","","","","","","",""
"Avian Influenza A (H5N1) - Cambodia","26 February 2023","https://www.who.int/emergencies/disease-outbreak-news/item/2023-DON445","2023","February","Avian Influenza A (H5N1)","Cambodia","","","","","","","","","","","","",""
"Marburg virus disease - Equatorial Guinea","25 February 2023","https://www.who.int/emergencies/disease-outbreak-news/item/2023-DON444","2023","February","Marburg virus disease","Equatorial Guinea","","","","","","","","","","","","",""
"Cholera - Mozambique","24 February 2023","https://www.who.int/emergencies/disease-outbreak-news/item/2023-DON443","2023","February","Cholera","Mozambique","","","","","","","","","","","","",""
