"report_title","publication_date","report_url","year","month","disease","country","","","","","","","","","","","","",""
"Ebola virus disease - Democratic Republic of the Congo","03 September 2020","https://www.who.int/emergencies/disease-outbreak-news/item/ebola-virus-disease-democratic-republic-of-the-congo","2020","September","Ebola virus disease","Democratic Republic of the Congo","","","","","","","","","","","","",""
"Circulating vaccine-derived poliovirus type 2 - Sudan","01 September 2020","https://www.who.int/emergencies/disease-outbreak-news/item/circulating-vaccine-derived-poliovirus-type-2-sudan","2020","September","Circulating vaccine","Sudan","","","","","","","","","","","","",""
"Yellow Fever - French Guiana","01 August 2020","https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON288","2020","August","Yellow Fever","French Guiana","","","","","","","","","","","","",""
"Plague - Democratic Republic of the Congo","23 July 2020","https://www.who.int/emergencies/disease-outbreak-news/item/plague-democratic-republic-of-the-congo","2020","July","Plague","Democratic Republic of the Congo","","","","","","","","","","","","",""
"Influenza A(H1N2) variant virus - Brazil","09 July 2020","https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON286","2020","July","Influenza A(H1N2) variant virus","Brazil","","","","","","","","","","","","",""
"Influenza A(H1N2) - Brazil","08 July 2020","https://www.who.int/emergencies/disease-outbreak-news/item/influenza-a(h1n2)-variant-virus-brazil","2020","July","Influenza A(H1N2)","Brazil","","","","","","","","","","","","",""
"Middle East respiratory syndrome coronavirus – Saudi Arabia","02 July 2020","https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON285","2020","July","Middle East respiratory syndrome coronavirus","Saudi Arabia","","","","","","","","","","","","",""
"Ebola virus disease - Democratic Republic of the Congo","26 June 2020","https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON284","2020","June","Ebola virus disease","Democratic Republic of the Congo","","","","","","","","","","","","",""
"Ebola virus disease - Democratic Republic of the Congo","18 June 2020","https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON283","2020","June","Ebola virus disease","Democratic Republic of the Congo","","","","","","","","","","","","",""
"Yellow fever – Gabon","17 June 2020","https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON282","2020","June","Yellow fever","Gabon","","","","","","","","","","","","",""
"Ebola virus disease - Democratic Republic of the Congo","11 June 2020","https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON281","2020","June","Ebola virus disease","Democratic Republic of the Congo","","","","","","","","","","","","",""
"Yellow Fever - Togo","05 June 2020","https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON279","2020","June","Yellow Fever","Togo","","","","","","","","","","","","",""
"Ebola virus disease - Democratic Republic of the Congo","04 June 2020","https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON278","2020","June","Ebola virus disease","Democratic Republic of the Congo","","","","","","","","","","","","",""
"Ebola virus disease - Democratic Republic of the Congo","03 June 2020","https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON277","2020","June","Ebola virus disease","Democratic Republic of the Congo","","","","","","","","","","","","",""
"Ebola virus disease - Democratic Republic of the Congo","28 May 2020","https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON276","2020","May","Ebola virus disease","Democratic Republic of the Congo","","","","","","","","","","","","",""
"Dracunculiasis (Guinea worm disease) – Ethiopia","25 May 2020","https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON273","2020","May","Dracunculiasis (Guinea worm disease)","Ethiopia","","","","","","","","","","","","",""
"Ebola virus disease - Democratic Republic of the Congo","21 May 2020","https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON275","2020","May","Ebola virus disease","Democratic Republic of the Congo","","","","","","","","","","","","",""
"Ebola virus disease - Democratic Republic of the Congo","14 May 2020","https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON274","2020","May","Ebola virus disease","Democratic Republic of the Congo","","","","","","","","","","","","",""
"Ebola virus disease - Democratic Republic of the Congo","07 May 2020","https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON272","2020","May","Ebola virus disease","Democratic Republic of the Congo","","","","","","","","","","","","",""
"Measles - Burundi","06 May 2020","https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON264","2020","May","Measles","Burundi","","","","","","","","","","","","",""
"Middle East respiratory syndrome coronavirus – Saudi Arabia","05 May 2020","https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON270","2020","May","Middle East respiratory syndrome coronavirus","Saudi Arabia","","","","","","","","","","","","",""
"Ebola virus disease - Democratic Republic of the Congo","30 April 2020","https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON271","2020","April","Ebola virus disease","Democratic Republic of the Congo","","","","","","","","","","","","",""
"Measles - Mexico","24 April 2020","https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON267","2020","April","Measles","Mexico","","","","","","","","","","","","",""
"Ebola virus disease - Democratic Republic of the Congo","23 April 2020","https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON269","2020","April","Ebola virus disease","Democratic Republic of the Congo","","","","","","","","","","","","",""
"Dengue Fever - France","23 April 2020","https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON265","2020","April","Dengue Fever","France","","","","","","","","","","","","",""
"Yellow Fever - Ethiopia","22 April 2020","https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON263","2020","April","Yellow Fever","Ethiopia","","","","","","","","","","","","",""
"Yellow Fever - South Sudan","18 April 2020","https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON262","2020","April","Yellow Fever","South Sudan","","","","","","","","","","","","",""
"Ebola virus disease - Democratic Republic of the Congo","16 April 2020","https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON268","2020","April","Ebola virus disease","Democratic Republic of the Congo","","","","","","","","","","","","",""
"Ebola virus disease - Democratic Republic of the Congo","09 April 2020","https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON266","2020","April","Ebola virus disease","Democratic Republic of the Congo","","","","","","","","","","","","",""
"MERS-CoV - Saudi Arabia","08 April 2020","https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON261","2020","April","MERS","Saudi Arabia","","","","","","","","","","","","",""
"Ebola virus disease - Democratic Republic of the Congo","02 April 2020","https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON260","2020","April","Ebola virus disease","Democratic Republic of the Congo","","","","","","","","","","","","",""
"Ebola virus disease - Democratic Republic of the Congo","26 March 2020","https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON259","2020","March","Ebola virus disease","Democratic Republic of the Congo","","","","","","","","","","","","",""
"Ebola virus disease - Democratic Republic of the Congo","19 March 2020","https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON258","2020","March","Ebola virus disease","Democratic Republic of the Congo","","","","","","","","","","","","",""
"MERS-CoV - Qatar","12 March 2020","https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON254","2020","March","MERS","Qatar","","","","","","","","","","","","",""
"Ebola virus disease - Democratic Republic of the Congo","12 March 2020","https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON255","2020","March","Ebola virus disease","Democratic Republic of the Congo","","","","","","","","","","","","",""
"Dengue Fever - Region of the Americas (PAHO) - French Guiana, Guadeloupe, Martinique, Saint-Martin, and Saint-Barthélemy","10 March 2020","https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON251","2020","March","Dengue Fever","Barthélemy","","","","","","","","","","","","",""
"Ebola virus disease - Democratic Republic of the Congo","05 March 2020","https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON253","2020","March","Ebola virus disease","Democratic Republic of the Congo","","","","","","","","","","","","",""
"Measles - Central African Republic","04 March 2020","https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON246","2020","March","Measles","Central African Republic","","","","","","","","","","","","",""
"Ebola virus disease - Democratic Republic of the Congo","27 February 2020","https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON252","2020","February","Ebola virus disease","Democratic Republic of the Congo","","","","","","","","","","","","",""
"MERS-CoV - Saudi Arabia","24 February 2020","https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON247","2020","February","MERS","Saudi Arabia","","","","","","","","","","","","",""
"Dengue Fever - Chile","22 February 2020","https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON250","2020","February","Dengue Fever","Chile","","","","","","","","","","","","",""
"Yellow Fever - Uganda","21 February 2020","https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON249","2020","February","Yellow Fever","Uganda","","","","","","","","","","","","",""
"Ebola virus disease - Democratic Republic of the Congo","20 February 2020","https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON248","2020","February","Ebola virus disease","Democratic Republic of the Congo","","","","","","","","","","","","",""
"Lassa Fever - Nigeria","20 February 2020","https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON245","2020","February","Lassa Fever","Nigeria","","","","","","","","","","","","",""
"Ebola virus disease - Democratic Republic of the Congo","13 February 2020","https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON244","2020","February","Ebola virus disease","Democratic Republic of the Congo","","","","","","","","","","","","",""
"Ebola virus disease - Democratic Republic of the Congo","06 February 2020","https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON243","2020","February","Ebola virus disease","Democratic Republic of the Congo","","","","","","","","","","","","",""
"MERS-CoV - United Arab Emirates","31 January 2020","https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON239","2020","January","MERS","United Arab Emirates","","","","","","","","","","","","",""
"Ebola virus disease - Democratic Republic of the Congo","30 January 2020","https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON242","2020","January","Ebola virus disease","Democratic Republic of the Congo","","","","","","","","","","","","",""
"Ebola virus disease - Democratic Republic of the Congo","23 January 2020","https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON241","2020","January","Ebola virus disease","Democratic Republic of the Congo","","","","","","","","","","","","",""
"COVID-19 - Republic of Korea - (ex-China)","21 January 2020","https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON238","2020","January","COVID","China","","","","","","","","","","","","",""
"Disease outbreak news - Japan","17 January 2020","https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON237","2020","January","Disease outbreak news","Japan","","","","","","","","","","","","",""
"COVID-19 - Japan - (ex-China)","16 January 2020","https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON236","2020","January","COVID","China","","","","","","","","","","","","",""
"Ebola virus disease - Democratic Republic of the Congo","16 January 2020","https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON235","2020","January","Ebola virus disease","Democratic Republic of the Congo","","","","","","","","","","","","",""
"Novel Coronavirus – Thailand (ex-China)","14 January 2020","https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON234","2020","January","Novel Coronavirus","Thailand (ex-China)","","","","","","","","","","","","",""
"COVID-19 - China","12 January 2020","https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON233","2020","January","COVID","China","","","","","","","","","","","","",""
"Measles - occupied Palestinian territory","10 January 2020","https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON232","2020","January","Measles","occupied Palestinian territory","","","","","","","","","","","","",""
"Ebola virus disease - Democratic Republic of the Congo","09 January 2020","https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON230","2020","January","Ebola virus disease","Democratic Republic of the Congo","","","","","","","","","","","","",""
"MERS-CoV - United Arab Emirates","08 January 2020","https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON231","2020","January","MERS","United Arab Emirates","","","","","","","","","","","","",""
"Pneumonia of unknown cause – China","05 January 2020","https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON229","2020","January","Pneumonia of unknown cause","China","","","","","","","","","","","","",""
"Ebola virus disease - Democratic Republic of the Congo","02 January 2020","https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON228","2020","January","Ebola virus disease","Democratic Republic of the Congo","","","","","","","","","","","","",""
